URL,Type,Sektion,Filsti (Astro),Live på taekkemandcarlsen.dk,Live på vercel preview,Gammel/Ny modpart,Mangler / noter,Ansvarlig (Mads/Peter)
/frederikssund,By-landing (template),Byer,src/pages/[city].astro (dynamisk),Nej,Ja,,,
/frederiksvaerk,By-landing (template),Byer,src/pages/[city].astro (dynamisk),Nej,Ja,,,
/galleri,Info-side,Info,src/pages/galleri.astro,Nej,Ja,,,
/garanti,Info-side,Info,src/pages/garanti.astro,Nej,Ja,,,
/garanti.php,Gammel PHP-URL,Migration,(autogen redirect i Astro-build),Ja,Ja,/garanti/,DUBLET — findes begge steder,
/gilleleje,By-landing (template),Byer,src/pages/[city].astro (dynamisk),Nej,Ja,,,
/helsinge,By-landing (CUSTOM),Byer,src/pages/helsinge/index.astro,Nej,Ja,,"Eneste by med custom layout — beslut: udvid til alle byer, eller migrér til template?",
/hero-galleri,Hero-test,Eksperiment,src/pages/hero-galleri.astro,Nej,Ja,,10 hero-versioner — slet når valg er truffet,
/hillerod,By-landing (template),Byer,src/pages/[city].astro (dynamisk),Nej,Ja,,,
/holdbarhed-af-straatag/frederikssund,Ydelse × By (SEO-kombi),SEO-kombi,src/pages/[service]/[city].astro (dynamisk),Nej,Ja,,Auto-genereret,
/holdbarhed-af-straatag/frederiksvaerk,Ydelse × By (SEO-kombi),SEO-kombi,src/pages/[service]/[city].astro (dynamisk),Nej,Ja,,Auto-genereret,
/holdbarhed-af-straatag/gilleleje,Ydelse × By (SEO-kombi),SEO-kombi,src/pages/[service]/[city].astro (dynamisk),Nej,Ja,,Auto-genereret,
/holdbarhed-af-straatag/helsinge,Ydelse × By (SEO-kombi),SEO-kombi,src/pages/[service]/[city].astro (dynamisk),Nej,Ja,,Auto-genereret,
/holdbarhed-af-straatag/hillerod,Ydelse × By (SEO-kombi),SEO-kombi,src/pages/[service]/[city].astro (dynamisk),Nej,Ja,,Auto-genereret,
/holdbarhed-af-straatag/hundested,Ydelse × By (SEO-kombi),SEO-kombi,src/pages/[service]/[city].astro (dynamisk),Nej,Ja,,Auto-genereret,
/holdbarhed-af-straatag/naestved,Ydelse × By (SEO-kombi),SEO-kombi,src/pages/[service]/[city].astro (dynamisk),Nej,Ja,,Auto-genereret,
/holdbarhed-af-straatag/ringsted,Ydelse × By (SEO-kombi),SEO-kombi,src/pages/[service]/[city].astro (dynamisk),Nej,Ja,,Auto-genereret,
/holdbarhed-af-straatag/soroe,Ydelse × By (SEO-kombi),SEO-kombi,src/pages/[service]/[city].astro (dynamisk),Nej,Ja,,Auto-genereret,
/holdbarhed-af-straatag/tisvildeleje,Ydelse × By (SEO-kombi),SEO-kombi,src/pages/[service]/[city].astro (dynamisk),Nej,Ja,,Auto-genereret,
/holdbarhed.php,Gammel PHP-URL,Migration,(autogen redirect i Astro-build),Ja,Ja,/tagdaekning/holdbarhed-af-straatag/,DUBLET — findes begge steder,
/hundested,By-landing (template),Byer,src/pages/[city].astro (dynamisk),Nej,Ja,,,
/kontakt,Info-side,Info,src/pages/kontakt.astro,Nej,Ja,,,
/moenning.php,Gammel PHP-URL,Migration,(autogen redirect i Astro-build),Ja,Ja,/tagdaekning/monning-til-straatag/,DUBLET — findes begge steder,
/monning-til-straatag/frederikssund,Ydelse × By (SEO-kombi),SEO-kombi,src/pages/[service]/[city].astro (dynamisk),Nej,Ja,,Auto-genereret,
/monning-til-straatag/frederiksvaerk,Ydelse × By (SEO-kombi),SEO-kombi,src/pages/[service]/[city].astro (dynamisk),Nej,Ja,,Auto-genereret,
/monning-til-straatag/gilleleje,Ydelse × By (SEO-kombi),SEO-kombi,src/pages/[service]/[city].astro (dynamisk),Nej,Ja,,Auto-genereret,
/monning-til-straatag/helsinge,Ydelse × By (SEO-kombi),SEO-kombi,src/pages/[service]/[city].astro (dynamisk),Nej,Ja,,Auto-genereret,
/monning-til-straatag/hillerod,Ydelse × By (SEO-kombi),SEO-kombi,src/pages/[service]/[city].astro (dynamisk),Nej,Ja,,Auto-genereret,
/monning-til-straatag/hundested,Ydelse × By (SEO-kombi),SEO-kombi,src/pages/[service]/[city].astro (dynamisk),Nej,Ja,,Auto-genereret,
/monning-til-straatag/naestved,Ydelse × By (SEO-kombi),SEO-kombi,src/pages/[service]/[city].astro (dynamisk),Nej,Ja,,Auto-genereret,
/monning-til-straatag/ringsted,Ydelse × By (SEO-kombi),SEO-kombi,src/pages/[service]/[city].astro (dynamisk),Nej,Ja,,Auto-genereret,
/monning-til-straatag/soroe,Ydelse × By (SEO-kombi),SEO-kombi,src/pages/[service]/[city].astro (dynamisk),Nej,Ja,,Auto-genereret,
/monning-til-straatag/tisvildeleje,Ydelse × By (SEO-kombi),SEO-kombi,src/pages/[service]/[city].astro (dynamisk),Nej,Ja,,Auto-genereret,
/mosafrensning.php,Gammel PHP-URL,Migration,(autogen redirect i Astro-build),Ja,Ja,/tagdaekning/mosafrensning/,DUBLET — findes begge steder,
/mosafrensning/frederikssund,Ydelse × By (SEO-kombi),SEO-kombi,src/pages/[service]/[city].astro (dynamisk),Nej,Ja,,Auto-genereret,
/mosafrensning/frederiksvaerk,Ydelse × By (SEO-kombi),SEO-kombi,src/pages/[service]/[city].astro (dynamisk),Nej,Ja,,Auto-genereret,
/mosafrensning/gilleleje,Ydelse × By (SEO-kombi),SEO-kombi,src/pages/[service]/[city].astro (dynamisk),Nej,Ja,,Auto-genereret,
/mosafrensning/helsinge,Ydelse × By (SEO-kombi),SEO-kombi,src/pages/[service]/[city].astro (dynamisk),Nej,Ja,,Auto-genereret,
/mosafrensning/hillerod,Ydelse × By (SEO-kombi),SEO-kombi,src/pages/[service]/[city].astro (dynamisk),Nej,Ja,,Auto-genereret,
/mosafrensning/hundested,Ydelse × By (SEO-kombi),SEO-kombi,src/pages/[service]/[city].astro (dynamisk),Nej,Ja,,Auto-genereret,
/mosafrensning/naestved,Ydelse × By (SEO-kombi),SEO-kombi,src/pages/[service]/[city].astro (dynamisk),Nej,Ja,,Auto-genereret,
/mosafrensning/ringsted,Ydelse × By (SEO-kombi),SEO-kombi,src/pages/[service]/[city].astro (dynamisk),Nej,Ja,,Auto-genereret,
/mosafrensning/soroe,Ydelse × By (SEO-kombi),SEO-kombi,src/pages/[service]/[city].astro (dynamisk),Nej,Ja,,Auto-genereret,
/mosafrensning/tisvildeleje,Ydelse × By (SEO-kombi),SEO-kombi,src/pages/[service]/[city].astro (dynamisk),Nej,Ja,,Auto-genereret,
/mosbehandling-paa-straatag/frederikssund,Ydelse × By (SEO-kombi),SEO-kombi,src/pages/[service]/[city].astro (dynamisk),Nej,Ja,,Auto-genereret,
/mosbehandling-paa-straatag/frederiksvaerk,Ydelse × By (SEO-kombi),SEO-kombi,src/pages/[service]/[city].astro (dynamisk),Nej,Ja,,Auto-genereret,
/mosbehandling-paa-straatag/gilleleje,Ydelse × By (SEO-kombi),SEO-kombi,src/pages/[service]/[city].astro (dynamisk),Nej,Ja,,Auto-genereret,
/mosbehandling-paa-straatag/helsinge,Ydelse × By (SEO-kombi),SEO-kombi,src/pages/[service]/[city].astro (dynamisk),Nej,Ja,,Auto-genereret,
/mosbehandling-paa-straatag/hillerod,Ydelse × By (SEO-kombi),SEO-kombi,src/pages/[service]/[city].astro (dynamisk),Nej,Ja,,Auto-genereret,
/mosbehandling-paa-straatag/hundested,Ydelse × By (SEO-kombi),SEO-kombi,src/pages/[service]/[city].astro (dynamisk),Nej,Ja,,Auto-genereret,
/mosbehandling-paa-straatag/naestved,Ydelse × By (SEO-kombi),SEO-kombi,src/pages/[service]/[city].astro (dynamisk),Nej,Ja,,Auto-genereret,
/mosbehandling-paa-straatag/ringsted,Ydelse × By (SEO-kombi),SEO-kombi,src/pages/[service]/[city].astro (dynamisk),Nej,Ja,,Auto-genereret,
/mosbehandling-paa-straatag/soroe,Ydelse × By (SEO-kombi),SEO-kombi,src/pages/[service]/[city].astro (dynamisk),Nej,Ja,,Auto-genereret,
/mosbehandling-paa-straatag/tisvildeleje,Ydelse × By (SEO-kombi),SEO-kombi,src/pages/[service]/[city].astro (dynamisk),Nej,Ja,,Auto-genereret,
/mosbehandling-straatag.php,Gammel PHP-URL,Migration,(autogen redirect i Astro-build),Ja,Ja,/tagdaekning/mosbehandling-paa-straatag/,DUBLET — findes begge steder,
/naestved,By-landing (template),Byer,src/pages/[city].astro (dynamisk),Nej,Ja,,,
/nyt-straatag/frederikssund,Ydelse × By (SEO-kombi),SEO-kombi,src/pages/[service]/[city].astro (dynamisk),Nej,Ja,,Auto-genereret,
/nyt-straatag/frederiksvaerk,Ydelse × By (SEO-kombi),SEO-kombi,src/pages/[service]/[city].astro (dynamisk),Nej,Ja,,Auto-genereret,
/nyt-straatag/gilleleje,Ydelse × By (SEO-kombi),SEO-kombi,src/pages/[service]/[city].astro (dynamisk),Nej,Ja,,Auto-genereret,
/nyt-straatag/helsinge,Ydelse × By (SEO-kombi),SEO-kombi,src/pages/[service]/[city].astro (dynamisk),Nej,Ja,,Auto-genereret,
/nyt-straatag/hillerod,Ydelse × By (SEO-kombi),SEO-kombi,src/pages/[service]/[city].astro (dynamisk),Nej,Ja,,Auto-genereret,
/nyt-straatag/hundested,Ydelse × By (SEO-kombi),SEO-kombi,src/pages/[service]/[city].astro (dynamisk),Nej,Ja,,Auto-genereret,
/nyt-straatag/naestved,Ydelse × By (SEO-kombi),SEO-kombi,src/pages/[service]/[city].astro (dynamisk),Nej,Ja,,Auto-genereret,
/nyt-straatag/ringsted,Ydelse × By (SEO-kombi),SEO-kombi,src/pages/[service]/[city].astro (dynamisk),Nej,Ja,,Auto-genereret,
/nyt-straatag/soroe,Ydelse × By (SEO-kombi),SEO-kombi,src/pages/[service]/[city].astro (dynamisk),Nej,Ja,,Auto-genereret,
/nyt-straatag/tisvildeleje,Ydelse × By (SEO-kombi),SEO-kombi,src/pages/[service]/[city].astro (dynamisk),Nej,Ja,,Auto-genereret,
/om-os,Info-side,Info,src/pages/om-os.astro,Nej,Ja,,,
/om-os.php,Gammel PHP-URL,Migration,(autogen redirect i Astro-build),Ja,Ja,/om-os/,DUBLET — findes begge steder,
/omraader,Oversigt,Områder,src/pages/omraader/index.astro,Nej,Ja,,,
/priser,Info-side,Info,src/pages/priser.astro,Nej,Ja,,,
/priser.php,Gammel PHP-URL,Migration,(autogen redirect i Astro-build),Ja,Ja,/priser/,DUBLET — findes begge steder,
/renovering-af-straatag/frederikssund,Ydelse × By (SEO-kombi),SEO-kombi,src/pages/[service]/[city].astro (dynamisk),Nej,Ja,,Auto-genereret,
/renovering-af-straatag/frederiksvaerk,Ydelse × By (SEO-kombi),SEO-kombi,src/pages/[service]/[city].astro (dynamisk),Nej,Ja,,Auto-genereret,
/renovering-af-straatag/gilleleje,Ydelse × By (SEO-kombi),SEO-kombi,src/pages/[service]/[city].astro (dynamisk),Nej,Ja,,Auto-genereret,
/renovering-af-straatag/helsinge,Ydelse × By (SEO-kombi),SEO-kombi,src/pages/[service]/[city].astro (dynamisk),Nej,Ja,,Auto-genereret,
/renovering-af-straatag/hillerod,Ydelse × By (SEO-kombi),SEO-kombi,src/pages/[service]/[city].astro (dynamisk),Nej,Ja,,Auto-genereret,
/renovering-af-straatag/hundested,Ydelse × By (SEO-kombi),SEO-kombi,src/pages/[service]/[city].astro (dynamisk),Nej,Ja,,Auto-genereret,
/renovering-af-straatag/naestved,Ydelse × By (SEO-kombi),SEO-kombi,src/pages/[service]/[city].astro (dynamisk),Nej,Ja,,Auto-genereret,
/renovering-af-straatag/ringsted,Ydelse × By (SEO-kombi),SEO-kombi,src/pages/[service]/[city].astro (dynamisk),Nej,Ja,,Auto-genereret,
/renovering-af-straatag/soroe,Ydelse × By (SEO-kombi),SEO-kombi,src/pages/[service]/[city].astro (dynamisk),Nej,Ja,,Auto-genereret,
/renovering-af-straatag/tisvildeleje,Ydelse × By (SEO-kombi),SEO-kombi,src/pages/[service]/[city].astro (dynamisk),Nej,Ja,,Auto-genereret,
/reparation-af-rygning/frederikssund,Ydelse × By (SEO-kombi),SEO-kombi,src/pages/[service]/[city].astro (dynamisk),Nej,Ja,,Auto-genereret,
/reparation-af-rygning/frederiksvaerk,Ydelse × By (SEO-kombi),SEO-kombi,src/pages/[service]/[city].astro (dynamisk),Nej,Ja,,Auto-genereret,
/reparation-af-rygning/gilleleje,Ydelse × By (SEO-kombi),SEO-kombi,src/pages/[service]/[city].astro (dynamisk),Nej,Ja,,Auto-genereret,
/reparation-af-rygning/helsinge,Ydelse × By (SEO-kombi),SEO-kombi,src/pages/[service]/[city].astro (dynamisk),Nej,Ja,,Auto-genereret,
/reparation-af-rygning/hillerod,Ydelse × By (SEO-kombi),SEO-kombi,src/pages/[service]/[city].astro (dynamisk),Nej,Ja,,Auto-genereret,
/reparation-af-rygning/hundested,Ydelse × By (SEO-kombi),SEO-kombi,src/pages/[service]/[city].astro (dynamisk),Nej,Ja,,Auto-genereret,
/reparation-af-rygning/naestved,Ydelse × By (SEO-kombi),SEO-kombi,src/pages/[service]/[city].astro (dynamisk),Nej,Ja,,Auto-genereret,
/reparation-af-rygning/ringsted,Ydelse × By (SEO-kombi),SEO-kombi,src/pages/[service]/[city].astro (dynamisk),Nej,Ja,,Auto-genereret,
/reparation-af-rygning/soroe,Ydelse × By (SEO-kombi),SEO-kombi,src/pages/[service]/[city].astro (dynamisk),Nej,Ja,,Auto-genereret,
/reparation-af-rygning/tisvildeleje,Ydelse × By (SEO-kombi),SEO-kombi,src/pages/[service]/[city].astro (dynamisk),Nej,Ja,,Auto-genereret,
/reparation-af-straatag.php,Gammel PHP-URL,Migration,(autogen redirect i Astro-build),Ja,Ja,/tagdaekning/reparation-af-straatag/,DUBLET — findes begge steder,
/reparation-af-straatag/frederikssund,Ydelse × By (SEO-kombi),SEO-kombi,src/pages/[service]/[city].astro (dynamisk),Nej,Ja,,Auto-genereret,
/reparation-af-straatag/frederiksvaerk,Ydelse × By (SEO-kombi),SEO-kombi,src/pages/[service]/[city].astro (dynamisk),Nej,Ja,,Auto-genereret,
/reparation-af-straatag/gilleleje,Ydelse × By (SEO-kombi),SEO-kombi,src/pages/[service]/[city].astro (dynamisk),Nej,Ja,,Auto-genereret,
/reparation-af-straatag/helsinge,Ydelse × By (SEO-kombi),SEO-kombi,src/pages/[service]/[city].astro (dynamisk),Nej,Ja,,Auto-genereret,
/reparation-af-straatag/hillerod,Ydelse × By (SEO-kombi),SEO-kombi,src/pages/[service]/[city].astro (dynamisk),Nej,Ja,,Auto-genereret,
/reparation-af-straatag/hundested,Ydelse × By (SEO-kombi),SEO-kombi,src/pages/[service]/[city].astro (dynamisk),Nej,Ja,,Auto-genereret,
/reparation-af-straatag/naestved,Ydelse × By (SEO-kombi),SEO-kombi,src/pages/[service]/[city].astro (dynamisk),Nej,Ja,,Auto-genereret,
/reparation-af-straatag/ringsted,Ydelse × By (SEO-kombi),SEO-kombi,src/pages/[service]/[city].astro (dynamisk),Nej,Ja,,Auto-genereret,
/reparation-af-straatag/soroe,Ydelse × By (SEO-kombi),SEO-kombi,src/pages/[service]/[city].astro (dynamisk),Nej,Ja,,Auto-genereret,
/reparation-af-straatag/tisvildeleje,Ydelse × By (SEO-kombi),SEO-kombi,src/pages/[service]/[city].astro (dynamisk),Nej,Ja,,Auto-genereret,
/reparation-af-tagrygning.php,Gammel PHP-URL,Migration,(autogen redirect i Astro-build),Ja,Ja,/tagdaekning/reparation-af-rygning/,DUBLET — findes begge steder,
/ringsted,By-landing (template),Byer,src/pages/[city].astro (dynamisk),Nej,Ja,,,
/skorstensrenovering.php,Gammel PHP-URL,Migration,(autogen redirect i Astro-build),Ja,Ja,/tagdaekning/skorstensrenovering/,DUBLET — findes begge steder,
/skorstensrenovering/frederikssund,Ydelse × By (SEO-kombi),SEO-kombi,src/pages/[service]/[city].astro (dynamisk),Nej,Ja,,Auto-genereret,
/skorstensrenovering/frederiksvaerk,Ydelse × By (SEO-kombi),SEO-kombi,src/pages/[service]/[city].astro (dynamisk),Nej,Ja,,Auto-genereret,
/skorstensrenovering/gilleleje,Ydelse × By (SEO-kombi),SEO-kombi,src/pages/[service]/[city].astro (dynamisk),Nej,Ja,,Auto-genereret,
/skorstensrenovering/helsinge,Ydelse × By (SEO-kombi),SEO-kombi,src/pages/[service]/[city].astro (dynamisk),Nej,Ja,,Auto-genereret,
/skorstensrenovering/hillerod,Ydelse × By (SEO-kombi),SEO-kombi,src/pages/[service]/[city].astro (dynamisk),Nej,Ja,,Auto-genereret,
/skorstensrenovering/hundested,Ydelse × By (SEO-kombi),SEO-kombi,src/pages/[service]/[city].astro (dynamisk),Nej,Ja,,Auto-genereret,
/skorstensrenovering/naestved,Ydelse × By (SEO-kombi),SEO-kombi,src/pages/[service]/[city].astro (dynamisk),Nej,Ja,,Auto-genereret,
/skorstensrenovering/ringsted,Ydelse × By (SEO-kombi),SEO-kombi,src/pages/[service]/[city].astro (dynamisk),Nej,Ja,,Auto-genereret,
/skorstensrenovering/soroe,Ydelse × By (SEO-kombi),SEO-kombi,src/pages/[service]/[city].astro (dynamisk),Nej,Ja,,Auto-genereret,
/skorstensrenovering/tisvildeleje,Ydelse × By (SEO-kombi),SEO-kombi,src/pages/[service]/[city].astro (dynamisk),Nej,Ja,,Auto-genereret,
/soroe,By-landing (template),Byer,src/pages/[city].astro (dynamisk),Nej,Ja,,,
/straatag.php,Gammel PHP-URL,Migration,(autogen redirect i Astro-build),Ja,Ja,/tagdaekning/nyt-straatag/,DUBLET — findes begge steder,
/straatag/frederikssund,Ydelse × By (SEO-kombi),SEO-kombi,src/pages/[service]/[city].astro (dynamisk),Nej,Ja,,Auto-genereret,
/straatag/frederiksvaerk,Ydelse × By (SEO-kombi),SEO-kombi,src/pages/[service]/[city].astro (dynamisk),Nej,Ja,,Auto-genereret,
/straatag/gilleleje,Ydelse × By (SEO-kombi),SEO-kombi,src/pages/[service]/[city].astro (dynamisk),Nej,Ja,,Auto-genereret,
/straatag/helsinge,Ydelse × By (SEO-kombi),SEO-kombi,src/pages/[service]/[city].astro (dynamisk),Nej,Ja,,Auto-genereret,
/straatag/hillerod,Ydelse × By (SEO-kombi),SEO-kombi,src/pages/[service]/[city].astro (dynamisk),Nej,Ja,,Auto-genereret,
/straatag/hundested,Ydelse × By (SEO-kombi),SEO-kombi,src/pages/[service]/[city].astro (dynamisk),Nej,Ja,,Auto-genereret,
/straatag/naestved,Ydelse × By (SEO-kombi),SEO-kombi,src/pages/[service]/[city].astro (dynamisk),Nej,Ja,,Auto-genereret,
/straatag/ringsted,Ydelse × By (SEO-kombi),SEO-kombi,src/pages/[service]/[city].astro (dynamisk),Nej,Ja,,Auto-genereret,
/straatag/soroe,Ydelse × By (SEO-kombi),SEO-kombi,src/pages/[service]/[city].astro (dynamisk),Nej,Ja,,Auto-genereret,
/straatag/tisvildeleje,Ydelse × By (SEO-kombi),SEO-kombi,src/pages/[service]/[city].astro (dynamisk),Nej,Ja,,Auto-genereret,
/taekkearbejde/frederikssund,Ydelse × By (SEO-kombi),SEO-kombi,src/pages/[service]/[city].astro (dynamisk),Nej,Ja,,Auto-genereret,
/taekkearbejde/frederiksvaerk,Ydelse × By (SEO-kombi),SEO-kombi,src/pages/[service]/[city].astro (dynamisk),Nej,Ja,,Auto-genereret,
/taekkearbejde/gilleleje,Ydelse × By (SEO-kombi),SEO-kombi,src/pages/[service]/[city].astro (dynamisk),Nej,Ja,,Auto-genereret,
/taekkearbejde/helsinge,Ydelse × By (SEO-kombi),SEO-kombi,src/pages/[service]/[city].astro (dynamisk),Nej,Ja,,Auto-genereret,
/taekkearbejde/hillerod,Ydelse × By (SEO-kombi),SEO-kombi,src/pages/[service]/[city].astro (dynamisk),Nej,Ja,,Auto-genereret,
/taekkearbejde/hundested,Ydelse × By (SEO-kombi),SEO-kombi,src/pages/[service]/[city].astro (dynamisk),Nej,Ja,,Auto-genereret,
/taekkearbejde/naestved,Ydelse × By (SEO-kombi),SEO-kombi,src/pages/[service]/[city].astro (dynamisk),Nej,Ja,,Auto-genereret,
/taekkearbejde/ringsted,Ydelse × By (SEO-kombi),SEO-kombi,src/pages/[service]/[city].astro (dynamisk),Nej,Ja,,Auto-genereret,
/taekkearbejde/soroe,Ydelse × By (SEO-kombi),SEO-kombi,src/pages/[service]/[city].astro (dynamisk),Nej,Ja,,Auto-genereret,
/taekkearbejde/tisvildeleje,Ydelse × By (SEO-kombi),SEO-kombi,src/pages/[service]/[city].astro (dynamisk),Nej,Ja,,Auto-genereret,
/tagdaekning,Oversigt,Ydelser,src/pages/tagdaekning/index.astro,Nej,Ja,,,
/tagdaekning/aldebehandling-af-straatag,Ydelse,Ydelser,src/pages/tagdaekning/[service].astro (dynamisk),Nej,Ja,,,
/tagdaekning/holdbarhed-af-straatag,Ydelse,Ydelser,src/pages/tagdaekning/[service].astro (dynamisk),Nej,Ja,,,
/tagdaekning/monning-til-straatag,Ydelse,Ydelser,src/pages/tagdaekning/[service].astro (dynamisk),Nej,Ja,,,
/tagdaekning/mosafrensning,Ydelse,Ydelser,src/pages/tagdaekning/[service].astro (dynamisk),Nej,Ja,,,
/tagdaekning/mosbehandling-paa-straatag,Ydelse,Ydelser,src/pages/tagdaekning/[service].astro (dynamisk),Nej,Ja,,,
/tagdaekning/nyt-straatag,Ydelse,Ydelser,src/pages/tagdaekning/[service].astro (dynamisk),Nej,Ja,,,
/tagdaekning/renovering-af-straatag,Ydelse,Ydelser,src/pages/tagdaekning/[service].astro (dynamisk),Nej,Ja,,,
/tagdaekning/reparation-af-rygning,Ydelse,Ydelser,src/pages/tagdaekning/[service].astro (dynamisk),Nej,Ja,,,
/tagdaekning/reparation-af-straatag,Ydelse,Ydelser,src/pages/tagdaekning/[service].astro (dynamisk),Nej,Ja,,,
/tagdaekning/skorstensrenovering,Ydelse,Ydelser,src/pages/tagdaekning/[service].astro (dynamisk),Nej,Ja,,,
/tagdaekning/straatag,Ydelse,Ydelser,src/pages/tagdaekning/[service].astro (dynamisk),Nej,Ja,,,
/tagdaekning/taekkearbejde,Ydelse,Ydelser,src/pages/tagdaekning/[service].astro (dynamisk),Nej,Ja,,,
/tagdaekning/taginspektion,Ydelse,Ydelser,src/pages/tagdaekning/[service].astro (dynamisk),Nej,Ja,,,
/tagdaekning/vedligeholdelse-af-straatag,Ydelse,Ydelser,src/pages/tagdaekning/[service].astro (dynamisk),Nej,Ja,,,
/taginspektion/frederikssund,Ydelse × By (SEO-kombi),SEO-kombi,src/pages/[service]/[city].astro (dynamisk),Nej,Ja,,Auto-genereret,
/taginspektion/frederiksvaerk,Ydelse × By (SEO-kombi),SEO-kombi,src/pages/[service]/[city].astro (dynamisk),Nej,Ja,,Auto-genereret,
/taginspektion/gilleleje,Ydelse × By (SEO-kombi),SEO-kombi,src/pages/[service]/[city].astro (dynamisk),Nej,Ja,,Auto-genereret,
/taginspektion/helsinge,Ydelse × By (SEO-kombi),SEO-kombi,src/pages/[service]/[city].astro (dynamisk),Nej,Ja,,Auto-genereret,
/taginspektion/hillerod,Ydelse × By (SEO-kombi),SEO-kombi,src/pages/[service]/[city].astro (dynamisk),Nej,Ja,,Auto-genereret,
/taginspektion/hundested,Ydelse × By (SEO-kombi),SEO-kombi,src/pages/[service]/[city].astro (dynamisk),Nej,Ja,,Auto-genereret,
/taginspektion/naestved,Ydelse × By (SEO-kombi),SEO-kombi,src/pages/[service]/[city].astro (dynamisk),Nej,Ja,,Auto-genereret,
/taginspektion/ringsted,Ydelse × By (SEO-kombi),SEO-kombi,src/pages/[service]/[city].astro (dynamisk),Nej,Ja,,Auto-genereret,
/taginspektion/soroe,Ydelse × By (SEO-kombi),SEO-kombi,src/pages/[service]/[city].astro (dynamisk),Nej,Ja,,Auto-genereret,
/taginspektion/tisvildeleje,Ydelse × By (SEO-kombi),SEO-kombi,src/pages/[service]/[city].astro (dynamisk),Nej,Ja,,Auto-genereret,
/tagrenderens.php,Gammel PHP-URL,Migration,(autogen redirect i Astro-build),Ja,Ja,/tagdaekning/rensning-af-tagrender/,DUBLET — findes begge steder,
/tisvildeleje,By-landing (template),Byer,src/pages/[city].astro (dynamisk),Nej,Ja,,,
/vedligehold-og-reparation.php,Gammel PHP-URL,Migration,(autogen redirect i Astro-build),Ja,Ja,/tagdaekning/vedligeholdelse-af-straatag/,DUBLET — findes begge steder,
/vedligeholdelse-af-straatag/frederikssund,Ydelse × By (SEO-kombi),SEO-kombi,src/pages/[service]/[city].astro (dynamisk),Nej,Ja,,Auto-genereret,
/vedligeholdelse-af-straatag/frederiksvaerk,Ydelse × By (SEO-kombi),SEO-kombi,src/pages/[service]/[city].astro (dynamisk),Nej,Ja,,Auto-genereret,
/vedligeholdelse-af-straatag/gilleleje,Ydelse × By (SEO-kombi),SEO-kombi,src/pages/[service]/[city].astro (dynamisk),Nej,Ja,,Auto-genereret,
/vedligeholdelse-af-straatag/helsinge,Ydelse × By (SEO-kombi),SEO-kombi,src/pages/[service]/[city].astro (dynamisk),Nej,Ja,,Auto-genereret,
